transaction_id;invoice_no;quantity;product_id
1;LS35713;1;4
2;LS35683;1;11
3;LS35683;1;41
4;LS35683;1;27
5;LS35677;1;38
6;LS35677;1;65
7;LS35649;1;7
8;LS35649;1;6
9;LS35649;1;2
10;LS35600;1;4
11;LS35600;2;117
12;LS35572;1;1
13;LS35572;1;1
15;LS35561;1;12
16;LS35561;1;1
17;LS35541;1;8
18;LS35541;1;2
19;LS35541;1;12
20;LS35528;1;2
21;LS35528;1;7
22;LS35528;1;27
23;LS35514;1;1
24;LS35514;1;1
25;LS35511;1;53
26;LS35511;1;10
27;LS35511;1;3
28;LS35511;1;8
29;LS35458;1;1
30;LS35449;1;1
31;LS35449;1;1
32;LS35442;1;4
33;LS35429;1;36
34;LS35429;1;2
35;LS35374;1;4
36;LS35352;1;4
37;LS35261;1;1
38;LS35261;1;12
39;LS35226;1;1
40;LS35226;1;1
41;LS35214;1;18
42;LS35214;1;1
43;LS35214;1;1
44;LS35192;1;12
45;LS35192;1;40
46;LS35192;1;3
47;LS35110;1;1
48;LS35110;1;1
49;LS35094;1;1
50;LS35094;1;1
51;LS35089;1;81
52;LS35089;1;29
53;LS35089;1;21
54;LS35004;1;4
55;LS34997;1;10
56;LS34997;1;7
57;LS34997;1;14
58;LS34925;1;1
59;LS34925;1;18
60;LS34923;1;20
61;LS34923;1;64
62;LS34875;1;1
63;LS34875;1;1
64;LS34863;1;21
65;LS34863;1;64
66;LS34839;1;26
67;LS34839;1;9
68;LS34839;1;2
69;LS34822;1;64
70;LS34822;1;29
71;LS34822;1;46
72;LS34822;1;3
73;LS34821;1;4
74;LS34818;1;10
75;LS34818;1;54
76;LS34751;1;1
77;LS34729;1;34
78;LS34729;1;2
79;LS34729;1;7
80;LS34729;1;112
81;LS34725;1;1
82;LS34725;1;1
83;LS34721;1;1
84;LS34471;2;9
85;LS34471;1;112
86;LS34471;1;12
87;LS34471;2;6
88;LS34711;1;64
89;LS34711;1;1
90;LS34675;1;4
91;LS34675;1;12
92;LS34674;1;26
93;LS34674;1;44
94;LS34674;1;12
95;LS34670;1;52
96;LS34670;1;7
97;LS34670;1;28
98;LS34634;1;63
99;LS34634;1;3
100;LS34634;1;112
