customer_id;invoice_no;order_date;first_day_month;new_customer;year;month;weekday;day_type;hour;shift;zip_code;neighborhood;gross_total;total;discounts_applied;perc_discount;discount_usage;refunded_amount;delivery_fee
C0001;LS35713;30/06/2023;01/06/2023;Yes;2023;6;5;Weekday;21;Night;8032;Horta, El Carmel;42,9;36,9;6;13,99;Yes;NULL;3,9
C0002;LS35683;30/06/2023;01/06/2023;No;2023;6;5;Weekday;19;Afternoon;8022;Sant Gervasi - La Bonanova, El Putxet i el Farró;59,5;53,5;6;10,08;Yes;NULL;3,9
C0003;LS35677;30/06/2023;01/06/2023;Yes;2023;6;5;Weekday;19;Afternoon;8004;Poble-sec, La Marina de Port;62,8;56,8;6;9,55;Yes;NULL;3,9
C0004;LS35649;30/06/2023;01/06/2023;No;2023;6;5;Weekday;14;Morning;8029;Les Corts, La Maternitat i Sant Ramon;50,6;44,6;6;11,86;Yes;NULL;2,9
C0005;LS35600;29/06/2023;01/06/2023;Yes;2023;6;4;Weekday;19;Afternoon;8002;Barri Gòtic;45,9;39,9;6;13,07;Yes;NULL;2,9
C0006;LS35572;29/06/2023;01/06/2023;No;2023;6;4;Weekday;14;Morning;8005;Vila Olímpica del Poblenou, El Poblenou;40,7;34,7;6;14,74;Yes;NULL;3,9
C0007;LS35561;29/06/2023;01/06/2023;No;2023;6;4;Weekday;13;Morning;8009;Dreta de l'Eixample;22,9;22,9;0;0;No;NULL;0
C0008;LS35541;28/06/2023;01/06/2023;Yes;2023;6;3;Weekday;22;Night;8003;La Barceloneta, Sant Pere, Santa Caterina i la Ribera;43,6;37,6;6;13,76;Yes;NULL;2,9
C0009;LS35528;28/06/2023;01/06/2023;No;2023;6;3;Weekday;21;Night;8019;El Besòs i el Maresme, Diagonal Mar i el Front Marítim del Poblenou;53,6;53,6;0;0;No;NULL;5,9
C0010;LS35514;28/06/2023;01/06/2023;No;2023;6;3;Weekday;20;Night;8041;El Guinardó, Camp de l'Arpa del Clot;38,4;32,4;6;15,63;Yes;NULL;2,9
C0011;LS35511;28/06/2023;01/06/2023;No;2023;6;3;Weekday;20;Night;8009;Dreta de l'Eixample;65,9;59,9;6;9,1;Yes;NULL;0
C0012;LS35458;28/06/2023;01/06/2023;No;2023;6;3;Weekday;12;Morning;8007;Antiga Esquerra de l'Eixample;17,4;17,4;0;0;No;NULL;0
C0013;LS35449;27/06/2023;01/06/2023;No;2023;6;2;Weekday;22;Night;8037;Dreta de l'Eixample, Sagrada Família;32;32;0;0;No;NULL;0
C0014;LS35442;27/06/2023;01/06/2023;No;2023;6;2;Weekday;21;Night;8023;Vallcarca i els Penitents, El Putxet i el Farró;44,4;38,4;6;13,51;Yes;NULL;3,9
C0011;LS35429;27/06/2023;01/06/2023;Yes;2023;6;2;Weekday;20;Night;8009;Dreta de l'Eixample;41,6;35,6;6;14,42;Yes;NULL;0
C0015;LS35374;27/06/2023;01/06/2023;Yes;2023;6;2;Weekday;13;Morning;8002;Barri Gòtic;42,4;30,55;11,85;27,95;Yes;NULL;2,9
C0016;LS35352;26/06/2023;01/06/2023;Yes;2023;6;1;Weekday;21;Night;8024;Vila de Gràcia, El Coll;41,9;35,9;6;14,32;Yes;NULL;2,9
C0017;LS35261;25/06/2023;01/06/2023;No;2023;6;7;Weekend;22;Night;8003;La Barceloneta, Sant Pere, Santa Caterina i la Ribera;26,9;26,9;0;0;No;NULL;2,9
C0018;LS35226;25/06/2023;01/06/2023;No;2023;6;7;Weekend;21;Night;8010;Dreta de l'Eixample;35;29;6;17,14;Yes;NULL;0
C0010;LS35214;25/06/2023;01/06/2023;No;2023;6;7;Weekend;20;Night;8041;El Guinardó, Camp de l'Arpa del Clot;39,4;33,4;6;15,23;Yes;NULL;2,9
C0019;LS35192;25/06/2023;01/06/2023;Yes;2023;6;7;Weekend;18;Afternoon;8022;Sant Gervasi - La Bonanova, El Putxet i el Farró;54,5;48,5;6;11,01;Yes;NULL;3,9
C0020;LS35110;24/06/2023;01/06/2023;No;2023;6;6;Weekend;21;Night;8025;Sagrada Família, El Baix Guinardó;37,4;37,4;0;0;No;NULL;2,9
C0021;LS35094;24/06/2023;01/06/2023;No;2023;6;6;Weekend;20;Night;8024;Vila de Gràcia, El Coll;39,4;33,4;6;15,23;Yes;NULL;2,9
C0022;LS35089;24/06/2023;01/06/2023;No;2023;6;6;Weekend;20;Night;8024;Vila de Gràcia, El Coll;61,7;55,7;6;9,72;Yes;NULL;2,9
C0006;LS35004;23/06/2023;01/06/2023;No;2023;6;5;Weekday;21;Night;8005;Vila Olímpica del Poblenou, El Poblenou;43,9;37,9;6;13,67;Yes;NULL;3,9
